TestCaseID,SuiteType,Feature,TestScenario,Type,Severity,TestSteps,ExpectedResult,Tags
TC_UI_001,UI,Registration,Valid user registration with complete profile,Positive,High,"1. Navigate to Register page; 2. Fill all mandatory fields with valid data; 3. Submit registration",User is registered and redirected to login page,@Smoke
TC_UI_002,UI,Authentication,Valid login with registered credentials,Positive,High,"1. Navigate to Login page; 2. Enter valid email and password; 3. Click Sign in",User is logged in and profile name appears in nav menu,@Smoke
TC_UI_003,UI,Authentication,Invalid password login attempt,Negative,High,"1. Navigate to Login page; 2. Enter valid email and wrong password; 3. Click Sign in",Error message displayed for invalid credentials,@Smoke
TC_UI_004,UI,Catalog,Search product and add item to cart,Positive,High,"1. Login; 2. Search catalog for an in-stock product; 3. Set quantity; 4. Add to cart",Product appears in cart with selected quantity,@Smoke
TC_UI_005,UI,Checkout,COD checkout with double-confirm invoice generation,Positive,Critical,"1. Login; 2. Add product to cart; 3. Proceed checkout steps; 4. Select Cash on Delivery; 5. Press Confirm twice on summary",Invoice ID is generated successfully,@Regression
TC_UI_006,UI,Invoice,Verify latest invoice under My Invoices,Positive,High,"1. Complete COD checkout; 2. Open user menu; 3. Navigate to My Invoices",Latest invoice is listed with valid status,@Regression
TC_API_001,API,Authentication,Login and obtain bearer token,Positive,High,"1. POST /users/login with valid credentials",Returns HTTP 200 and access_token in response,@Smoke
TC_API_002,API,Authentication,Login with invalid credentials,Negative,High,"1. POST /users/login with invalid password",Returns HTTP 401 Unauthorized,@Smoke
TC_API_003,API,Cart,Create new cart session,Positive,High,"1. POST /carts",Returns HTTP 201 with valid cart id,@Smoke
TC_API_004,API,Cart,Add product item to cart,Positive,High,"1. Create cart; 2. POST /carts/{id}/items with product_id and quantity",Returns HTTP 201 and item is added to cart,@Smoke
TC_API_005,API,Invoice,Generate COD invoice with billing payload,Positive,Critical,"1. Login; 2. Create cart; 3. Add item; 4. POST /invoices with COD payload and billing fields",Returns HTTP 201 with invoice id and payment_method cash-on-delivery,@Regression
TC_API_006,API,Invoice,Invoice request with missing cart_id,Negative,High,"1. Login; 2. POST /invoices without cart_id in payload",Returns HTTP 400 Bad Request,@Regression
